startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
REEZOCAR,440 000 euros en 2014 - Une seconde à venir fin 2015,15/10/2015,https://www.jaimelesstartups.fr/reezocar/,Levée de fonds : 440 000 euros en 2014 - Une seconde à venir fin 2015,"Fondateurs : Laurent Potel, Vladimir Grudzinski, Vincent Deboeuf",Nombre d'employés : 20,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=REEZOCAR,https://www.linkedin.com/company/reezocar,https://www.facebook.com/Reezocar,,,,"LE MARCHÉ AUTOMOBILE EST UN GROS MARCHÉ, TRÈS GROS MÊME ET CELUI DE L’OCCASION AUSSI. CEPENDANT, LA MAJORITÉ DES SOLUTIONS POUR LES PARTICULIERS NE SONT PAS TOURNÉES VERS LE CONSEILS ET ” L’ÉDUCATION” DES ACHETEURS. AFIN DE REMÉDIER À CET IMPORTANT PROBLÈME, LAURENT, VLADIMIR ET VINCENT ONT LANCÉ REEZOCAR QUI EN PLUS DE VOUS CONSEILLER, VOUS ACCOMPAGNE DANS LES DÉMARCHES. ET EN VOITURE SIMONE !"
La Belle Assiette,"1,3M€",04/01/2016,https://www.jaimelesstartups.fr/la-belle-assiette-aperitif-dinatoire-buffet-chef-a-domicile/,"Levée de fonds : 1,3M€",Fondateurs : Stephen Leguillon et Giorgio Ricco,Nombre d'employés : 21,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=La%20Belle%20Assiette,https://www.linkedin.com/company/la-belle-assiette,https://www.facebook.com/labelleassiette,,,,"IMAGINEZ QUE VOUS AVEZ DES INVITÉES (OU UN(E) INVITÉ(E)) QUE VOUS SOUHAITEZ RÉGALER, ÉPATER (OU SÉDUIRE…) C’EST QUAND MÊME LA CLASSE D’AVOIR UN CHEF À LA MAISON POUR VOUS PRÉPARER LE REPAS. ET C’EST JUSTEMENT CE QUE VOUS PROPOSE LA BELLE ASSIETTE !"
DESIGN MARKET,400 000,12/01/2016,https://www.jaimelesstartups.fr/news/design-market/,Levée de fonds : 400 000,Fondateurs : David Mimouni et Lionel Obadia,Nombre d'employés : 5,http://www.design-market.fr/?utm_source=JaimeLesStartups,,https://www.facebook.com/mydesignmarket/,,,,PREMIÈRE MARKET PLACE DÉDIÉE AU MOBILIER VINTAGE CONTEMPORAIN
Louez-demenagez,35350,16/03/2016,https://www.jaimelesstartups.fr/louez-demenagez/,Levée de fonds : 35350,Fondateurs : Dine,Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Louez-demenagez,,https://www.facebook.com/louez.demenagez,,,,"VOICI QU’ENTRE LES POTES, L’UBERISATION DU DÉMÉNAGEMENT ET LES PROFESSIONNELS ÉTABLIS DEPUIS DES ANNÉES, VIENT SE GLISSER UN NOUVEAU SERVICE : LA LOCATION DE LA CAMMIONETTE DE DÉMÉNAGEMENT AVEC SON CHAUFFEUR :"
Clustree,"600K€ (2014) + 2,5M€ (2015)",18/03/2016,https://www.jaimelesstartups.fr/news/clustree/,"Levée de fonds : 600K€ (2014) + 2,5M€ (2015)",Fondateurs : Bénédicte de Raphélis Soissan,,https://www.clustree.com/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/clustree/,https://www.facebook.com/Clustree/,,,,"BÉNÉDICTE DE RAPHÉLIS SOISSAN, FONDATRICE ET PRÉSIDENTE DE CLUSTREE, PRENDRA LA PAROLE LORS DU CONGRÈS HR."
kookooning,"150 k€ pour la 1°, 1M€ souhaité pour la 2°",11/02/2016,https://www.jaimelesstartups.fr/kookooning/,"Levée de fonds : 150 k€ pour la 1°, 1M€ souhaité pour la 2°",Fondateurs : Sébastien GUARDIOLA et Philippe CHALET,Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=kookooning,,https://www.facebook.com/kookoon.in,,,,"SI VOUS EN AVEZ MARRE DE PASSEZ VOS VACANCES SUR UN TRANSAT AU CLUB, QUE VOUS AVEZ BESOIN D’UN SAVANT MÉLANGE D’IMPROVISATION ET DE CONFORT ALORS SÉBASTIEN ET PHILIPPE ONT CRÉÉ POUR VOUS KOOKOONING ! ET SI VOUS AVEZ UN APPART’ À LOUER, VOUS POUVEZ AUSSI !"
Planet Ride,375000,09/03/2016,https://www.jaimelesstartups.fr/planet-ride/,Levée de fonds : 375000,"Fondateurs : Alexandre Zurcher, Baptiste Frerot, Clement Desmousseaux, Pierre-Alexandre Chiron",Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Planet%20Ride,https://www.linkedin.com/company/planet-ride,https://www.facebook.com/planet.ride.voyage,,,,"LE BOULOT EST STRESSANT ? LE PATRON EST SUR VOTRE DOS TOUTE LA SAINTE JOURNÉE ? PAS DE BOL ! IL SUFFISAIT DE MONTER VOTRE BOITE ;). EN ATTENDANT DE COMMENCER VOTRE PROJET, LE PLUS SIMPLE EST DE PRENDRE LA ROUTE ET DE ROULER TOUT DROIT ! PARTEZ À L’AVENTURE AVEC PLANET RIDE :"
Score n’co,300000,30/03/2016,https://www.jaimelesstartups.fr/score-nco/,Levée de fonds : 300000,"Fondateurs : Pierre Levavasseur, Gael Levavasseur",Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Score%20n%E2%80%99co,https://www.linkedin.com/company/score-n'co,https://www.facebook.com/scorenco/,,,,SI VOUS AIMEZ LE SPORT ET QUE VOUS SUIVEZ TOUS LES MATCHS DE VOTRE ÉQUIPE FAVORITES (QUI ÉVOLUE EN 5ÈME DIVISION) ALORS SCORE N’CO EST FAIT POUR VOUS. D’AUTANT PLUS QU’IL SUIT LES SCORES DE BEAUCOUP D’ÉQUIPES DANS BEAUCOUP DE SPORTS…
Fanpass,100 000€,18/02/2016,https://www.jaimelesstartups.fr/fanpass/,Levée de fonds : 100 000€,"Fondateurs : Adrien Taneron, Hedi Zidan",Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Fanpass,,https://www.facebook.com/FanpassOfficial/,,,,"OH LA BELLE IDÉE ! SI VOUS FRÉQUENTEZ UN PEU LES SALLES DE CONCERTS OU LES STADES , VOUS CONNAISSEZ BIEN LES PETITS GROUPES DE PERSONNES QUI REMONTENT LES FILES D’ATTENTES EN PROPOSANT DES BILLETS. TANTÔT VRAIS, TANTÔT MAL RETOUCHÉS SOUS PAINT, CES BILLETS REVENDUS SOUS LE MANTEAU FAISAIENT PARTIS DU PAYSAGE. ET OUI AU PASSÉ, CAR ADRIEN ET HEDI ONT CRÉÉ FANPASS, LA MARKETPLACE DE REVENTE DES (VRAIS) BILLETS !"
La Belle Assiette,3M€ au total,09/02/2016,https://www.jaimelesstartups.fr/news/la-belle-assiette-3/,Levée de fonds : 3M€ au total,Fondateurs : Stephen Leguillon et Giorgio Ricco,Nombre d'employés : 25,https://labelleassiette.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/la-belle-assiette,https://www.facebook.com/labelleassiette,,,,"LA BELLE ASSIETTE LÈVE 1,3M€ ET SE DIVERSIFIE POUR DEVENIR LE PLUS GRAND TRAITEUR AU MONDE"
Fiatope,3300 Euros,25/02/2016,https://www.jaimelesstartups.fr/fiatope/,Levée de fonds : 3300 Euros,Fondateurs : Eric Ntonfo,Nombre d'employés : 15 volontaires,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Fiatope,https://www.linkedin.com/company/fiatope,https://www.facebook.com/Fiatope-823426137691049,,,,"“A COEUR VAILLANT, RIEN D’IMPOSSIBLE” DIT LE DICTON. FIATOPE, C’EST UNE ÉQUIPÉE DE 15 COEURS VAILLANTS QUI APPORTE UN PROMPT RENFORT ET UN ACCOMPAGNEMENT AUX ENTREPRENEURS DES PAYS DU SUD :"
The Office,en cours,16/03/2016,https://www.jaimelesstartups.fr/the-office-2/,Levée de fonds : en cours,Fondateurs : Arnaud Régnié et Olivier Vergnet,Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=The%20Office,,https://www.facebook.com/thffc.co/,,,,"LE LIEU DE TRAVAIL EST IMPORTANT LORSQU’ON MONTE UNE BOITE, TOUT COMME LA FLEXIBILITÉ ! ET POUR VOS ASSURER UNE FLEXIBILITÉ TOTALE, THE OFFICE VOUS PROPOSE 30 LIEUX DE CO-WORKING DANS PARIS !"
DESIGN MARKET,400k€,16/02/2016,https://www.jaimelesstartups.fr/design-market/,Levée de fonds : 400k€,Fondateurs : Lionel Obadia et David Mimouni,Nombre d'employés : 8,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=DESIGN%20MARKET,https://www.linkedin.com/company/design-market,https://www.facebook.com/mydesignmarket,,,,"SI VOUS ÊTES EN TRAIN DE REVOIR LA DÉCO DE VOTRE NOUVEL APPART’ MAIS QUE VOUS N’ÊTES PAS ARCHITECTE D’INTÉRIEUR, VOUS POUVEZ FAIRE APPEL À LA STARTUP DE LIONEL & DAVID : DESIGN MARKET PERMET D’ACHETER ET VENDRE DES MEUBLES CERTIFIÉS !"
iDGARAGES,2 millions,25/04/2016,https://www.jaimelesstartups.fr/idgarages/,Levée de fonds : 2 millions,,Nombre d'employés : 8,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=iDGARAGES,,https://www.facebook.com/iDGARAGES-173888466065326/,,,,"SI VOUS POSSEDEZ UNE VOITURE, VOUS FAITE SUREMENT APPEL À UN GARAGISTE POUR PRENDRE SOIN DE VOTRE CAGE EN MÉTAL. ET TOUS LES GARAGISTES NE SE VALENT PAS. IDGARAGES EST LÀ POUR VOUS AIDER À TROUVER LE MEILLEUR GARAGE POUR VOUS !"
TradeMachines,700 000€,27/04/2016,https://www.jaimelesstartups.fr/trademachines/,Levée de fonds : 700 000€,Fondateurs : Heico Koch,Nombre d'employés : 30,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TradeMachines,https://www.linkedin.com/company/trademachines-gmbh,https://www.facebook.com/trademachines/,,,,TradeMachines est un moteur de recherche pour machines industrielles d'occasion.
Copromatc,"(injection en fond propre, comme des grands)",26/04/2016,https://www.jaimelesstartups.fr/copromatc/,"Levée de fonds : (injection en fond propre, comme des grands)","Fondateurs : Rémi Darricau, Stanislas Limouzi, Jean-Pierre Dabreteau",Nombre d'employés : 7,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Copromatc,https://www.linkedin.com/company/copromatic,https://www.facebook.com/copromatic,,,,"L’IMPORTANT QUAND ON CRÉE UNE STARTUP, C’EST DE TROUVER RAPIDEMENT DES CLIENTS QUI ONT UN BESOIN. ET AVEC COPROMAT, ON EST PAS MAUVAIS :"
Meetphone,2 millions,10/05/2016,https://www.jaimelesstartups.fr/news/meetphone/,Levée de fonds : 2 millions,,Nombre d'employés : 15,http://www.monsherif.com/?utm_source=JaimeLesStartups,,,,,,"MEETPHONE DÉVOILE MON SHÉRIF, LE BOUTON CONNECTÉ POUR RÉPONDRE DE MANIÈRE EFFICACE AUX AGRESSIONS"
MYevent,/,09/05/2016,https://www.jaimelesstartups.fr/myevent/,Levée de fonds : /,Fondateurs : Nicolas Seignolle,Nombre d'employés : 2,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=MYevent,https://www.linkedin.com/company/myevent,https://www.facebook.com/MYeventFR/,,,,"MYevent, dénicheur de lieux et de talents, vous permet d'organiser votre événement professionnel sans intermédiaire et en toute sérénité."
TrainMe,Pas encore de levée de fonds,03/05/2016,https://www.jaimelesstartups.fr/trainme/,Levée de fonds : Pas encore de levée de fonds,"Fondateurs : Gatien LETARTRE, Anatole SABY","Nombre d'employés : Pour le moment, nous sommes 5",https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TrainMe,https://www.linkedin.com/company/trainme,https://www.facebook.com/trainme.co,,,,La startup trainme permet de réserver une séance avec un coach sportif compétent près de chez soit en quelques clics et sans engagement
KAYO,300000,26/04/2016,https://www.jaimelesstartups.fr/kayo/,Levée de fonds : 300000,"Fondateurs : Nicolas Gendrot (CEO), Thibaud Saidi (CMO), Valentin Dumontier (CTO)",Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=KAYO,https://www.linkedin.com/company/kayo,https://www.facebook.com/kayo.fr/,,,,"KAYO EST UNE STARTUP DE COMMUNICATION DIGITALE. KAYO C’EST UNE IDÉE PAS CON DU TOUT, ÉCOLO, BIEN FAITE ET BIEN ÉXÉCUTÉE."
HELPFOOD,non,07/05/2016,https://www.jaimelesstartups.fr/news/helpfood/,Levée de fonds : non,Fondateurs : eric authier,Nombre d'employés : 18,http://www.helpfood.fr/?utm_source=JaimeLesStartups,,https://www.facebook.com/helpfood.fr/?fref=ts,,,,UN RAPPROCHEMENT GAGNANT DE LIKELUNCH AVEC HELPFOOD POUR ENCORE PLUS DE PLAISIR!
Vanted,à venir,19/04/2016,https://www.jaimelesstartups.fr/news/vanted/,Levée de fonds : à venir,Fondateurs : Vivien Cazaubon & Edy Abboud,,http://www.vanted.fr/?utm_source=JaimeLesStartups,,https://www.facebook.com/Vanted-Officiel-868301866585786,,,,VANTED ATTAQUE LES COMMISSIONS D'AGENCE IMMOBILIÈRES !
GOOT,500 000 euros,20/04/2016,https://www.jaimelesstartups.fr/goot/,Levée de fonds : 500 000 euros,Fondateurs : Olivier THIBERT,Nombre d'employés : 11,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=GOOT,https://www.linkedin.com/company/goot,https://www.facebook.com/gootfr,,,,"SI D’AVENTURE VOUS FERIEZ UN APÉRO IMPROVISÉ SANS AVOIR DE CAVISTE À PROXIMITÉ, VOUS POUVEZ PASSER PAR GOOT QUI VOUS LIVRERA CHEZ VOUS ET RAPIDEMENT : À CONDITIONS D’ÊTRE DANS UNE VILLE PARTICIPANT À L’OPÉRATION :)"
CARIZY,1 000 000,14/06/2016,https://www.jaimelesstartups.fr/carizy/,Levée de fonds : 1 000 000,"Fondateurs : Mathias Hioco, Vincent Farion, Nicolas Robin, Fabien Gagnot",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=CARIZY,https://www.linkedin.com/company/carizy,https://www.facebook.com/CarizyCom/,,,,"CARIZY EST UN SITE DE VENTE DE VOITURE D’OCCASION… MAIS L’IMPORTANT, C’EST QUE CARIZY S’OCCUPE DE TOUT ENTRE L’EXPERTISE DU VÉHICULE À LA LIVRAISON !"
Kaps,1500 euros,28/06/2016,https://www.jaimelesstartups.fr/kaps/,Levée de fonds : 1500 euros,Fondateurs : Pierre Moscovino,Nombre d'employés : 2,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Kaps,,https://www.facebook.com/kapeisi,,,,"EN CE MOMENT, LE VÉLO A LA COTE ! SEULEMENT DÈS QU’IL PLEUT (ET EN CE MOMENT IL PLEUT AUSSI) IL FAUT PLUS QUE DU COURAGE POUR PÉDALER. ET C’EST POUR CELA QUE KAPS A ÉTÉ CRÉÉ : POUR FAIRE FI DE LA PLUIE !
A BICYCLETTE !!"
Marguerite,Non effectée,23/08/2016,https://www.jaimelesstartups.fr/marguerite/,Levée de fonds : Non effectée,"Fondateurs : Emmanuelle Touilloux, Laurence Mahieux",Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Marguerite,,,,,,OH COMBIEN NOUS MAUDISSONS LES JOURNÉES COMPTA ! CHAQUE ENTREPRENEUR À SA BÊTE NOIRE ADMINISTRATIVE. MARGUERITE PROPOSE AUX TPE / PME DE SE SOULAGER DE CES VILAINES TÂCHES !
Studapart,700 000 euros,22/08/2016,https://www.jaimelesstartups.fr/studapart/,Levée de fonds : 700 000 euros,Fondateurs : Alexandre Ducoeur et Amaury Roland,Nombre d'employés : 20,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Studapart,,https://www.facebook.com/Studapart,,,,LES ÉTUDIANTS SONT AUSSI SOUVENT DES LOCATAIRES ET STUDAPART A ATTAQUÉ LE MARCHÉ HYPER CONCURENTIEL AVEC UNE BELLE IDÉE : PASSER PAR LES UNIVERSITÉS ET LES ÉCOLES !
JustDare,200K,28/07/2016,https://www.jaimelesstartups.fr/news/justdare/,Levée de fonds : 200K,Fondateurs : Maxime et Jonathan,Nombre d'employés : 5,http://justdareapp.com/?utm_source=JaimeLesStartups,,https://www.facebook.com/JustDare/,,,,"LA NOUVELLE VERSION DE JUSTDARE, L’APPLICATION DE DÉFIS, EST SUR LES STORES !"
HomeToGo,20m$,24/05/2016,https://www.jaimelesstartups.fr/hometogo/,Levée de fonds : 20m$,"Fondateurs : Patrick Andrea, Nils Regge, Wolfgang Heigl",Nombre d'employés : 60,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=HomeToGo,https://www.linkedin.com/company/hometogo,https://www.facebook.com/hometogoDE/?brand_redir=213636561981119,,,,"C’EST BIENTÔT LES VACANCES, IL EST TEMPS DE TROUVER LE MEILLEUR PRIX POUR UNE LOCATION. AVEC LES NOUVELLES PLATEFORMES QUI ONT FAIT APPARITION, PAS FACILE DE TROUVER LA SOLUTION LA MOINS CHER. ET C’EST LÀ QU’INTERVIENT HOMETOGO : LE META MOTEUR DE RECHERCHE DE LOCATION !"
B-Reputation,1000000,22/08/2016,https://www.jaimelesstartups.fr/b-reputation/,Levée de fonds : 1000000,Fondateurs : 2,Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=B-Reputation,https://www.linkedin.com/company/b-reputation,https://www.facebook.com/bReputationcom,,,,"SUR INTERNET, UN DES ÉLÉMENTS LES PLUS IMPORTANTS, ÇA RESTE TOUJOURS LA RÉPUTATION. ET COMME DISAIT CE BON VIEL HENRY FORD : ON NE CONSTRUIT PAS SA RÉPUTATION SUR CE QU’ON PRÉVOIT DE FAIRE ! DU COUP POUR PROTÉGER VOTRE TRAVAIL, VOUS POUVEZ PASSER PAR B-REPUTATION :"
BRAND AND CELEBRITIES,3 millions €,20/06/2016,https://www.jaimelesstartups.fr/news/brand-and-celebrities/,Levée de fonds : 3 millions €,Fondateurs : Quentin Bordage,Nombre d'employés : 25,http://brandandcelebrities.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/1775650,https://www.facebook.com/brandandcelebrities,,,,BRAND AND CELEBRITIES LÈVE 3 MILLIONS D'EUROS POUR ACCÉLÉRER SON DÉVELOPPEMENT TECHNOLOGIQUE EN FRANCE ET À L'ÉTRANGER
Izziplace,5000,31/05/2016,https://www.jaimelesstartups.fr/news/izziplace-3/,Levée de fonds : 5000,Fondateurs : GODEFROY Jérôme,,https://fr.ulule.com/izziplacecom/?utm_source=JaimeLesStartups,,https://www.facebook.com/izziplace,,,,SOUTENEZ LE DÉVELOPPEMENT DE WWW.IZZIPLACE.COM VIA ULULE
Plezi,3 M€,08/06/2016,https://www.jaimelesstartups.fr/plezi/,Levée de fonds : 3 M€,"Fondateurs : Charles Dolisy, Renaud de Lacotte",Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Plezi,https://www.linkedin.com/company/plezi,https://www.facebook.com/pleziapp,,,,"L’INBOUND MARKETING COUPLÉ À UN PEU DE MARKETING AUTOMATION, C’EST UN PEU LE FANTASME DE N’IMPORTE QUEL MARKETEUX ET PLEZI VOUS OFFRE LE TOUT SUR UN PLATEAU !"
HostnFly,400 000 €,24/08/2016,https://www.jaimelesstartups.fr/hostnfly/,Levée de fonds : 400 000 €,"Fondateurs : Quentin Brackers de Hugo, Guillaume Motte, Baptiste Maurel",,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=HostnFly,,https://www.facebook.com/hostnfly/?fref=nf,,,,"POUR LES CHANCEUX QUI NE SONT PAS ENCORE PARTIS EN CONGÈS, VOICI DE QUOI VOUS DIMINUER LA FACTURE OU MÊME AMÉLIORER VOTRE SÉJOUR. HOSTNFLY LOUE VOTRE RÉSIDENCE PRINCIPALE PENDANT VOTRE SÉJOUR !"
YouShould,500 000€,31/08/2016,https://www.jaimelesstartups.fr/youshould-2/,Levée de fonds : 500 000€,Fondateurs : Timothée Emery et Paul de Préville,Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=YouShould,https://www.linkedin.com/company/youshould,https://www.facebook.com/YouShouldFR/,,,,"SI VOUS AIMEZ LES APÉROS, LES SOIRÉES ENTRE AMIS, ENFIN LA VIE ! VOUS ALLEZ AIMER YOUSHOULD !"
Locavorium,250 000 €,25/08/2016,https://www.jaimelesstartups.fr/locavorium/,Levée de fonds : 250 000 €,Fondateurs : Damien ROUX - Jessica GROS - Thibaud PIROUX,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Locavorium,,https://www.facebook.com/locavorium/,,,,CE N’EST PAS VERITABLEMENT UNE STARTUP MAIS NOUS TROUVONS L’EXPÉRIENCE ORIGINALE ET NOUS LUI PROPOSONS NOTRE (HUMBLE) COUP DE PROJETCTEUR : LOCAVORIUM EST UN MAGASIN SPÉCIALISÉ SUR LE CRÉNEAU DU LOCALFOOD !
Marketing 1by1,"1,25 million d'euros",16/09/2016,https://www.jaimelesstartups.fr/news/marketing-1by1/,"Levée de fonds : 1,25 million d'euros","Fondateurs : Benoit Venière, Henri-Maxime Ducoulombier, Natacha Zammit",Nombre d'employés : 6,https://www.marketing1by1.com/?utm_source=JaimeLesStartups,,,,,,"MARKETING 1BY1 LÈVE 1,25 MILLION D’EUROS POUR ACCÉLÉRER SON DÉVELOPPEMENT ET S’IMPOSER COMME L’EXPERT CRM DU RETAIL"
Storyzy,820.000 euros,01/09/2016,https://www.jaimelesstartups.fr/news/storyzy/,Levée de fonds : 820.000 euros,"Fondateurs : Stanislas Motte, Arnaud Jacolin, Ramon Ruti, Pierre-Albert Ruquier",Nombre d'employés : 15,http://storyzy.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/5187967?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5187967%2Cidx%3A1-1-1%2CtarId%3A1472719236986%2Ctas%3Astoryzy,https://www.facebook.com/storyzy/,,,,"STORYZY, SIGNE UNE PREMIÈRE LEVÉE DE FONDS DE 820.000€"
Nuxeo,$30M,20/09/2016,https://www.jaimelesstartups.fr/news/nuxeo/,Levée de fonds : $30M,,,https://www.nuxeo.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/nuxeo,https://www.facebook.com/Nuxeo/,,,,NUXEO ANNONCE UNE LEVÉE DE FONDS DE 20 MILLIONS DE DOLLARS US AUPRÈS DE GOLDMAN SACHS
MainTool,500K€,31/08/2016,https://www.jaimelesstartups.fr/news/maintool/,Levée de fonds : 500K€,Fondateurs : Hussain Ahamed et Boris Kesler,Nombre d'employés : 10,http://maintool.me/?utm_source=JaimeLesStartups,http://linkedin.com/company/maintool,https://facebook.com/MainTool,,,,VOICI CLASSI : UN BRACELET CONNECTÉ EN CUIR POUR VOTRE MONTRE CLASSIQUE
GuestToGuest,4 millions d'euros auprès de la MAIF,06/09/2016,https://www.jaimelesstartups.fr/guesttoguest/,Levée de fonds : 4 millions d'euros auprès de la MAIF,"Fondateurs : Emmanuel Arnaud, Charles-Edouard Girard",Nombre d'employés : 45,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=GuestToGuest,https://www.linkedin.com/company/3211064?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3211064%2Cidx%3A2-1-2%2CtarId%3A1472820508067%2Ctas%3Aguestto,https://www.facebook.com/guesttoguest/?ref=bookmarks,,,,"C’EST LA RENTRÉE, IL N’Y A QU’UNE SOLUTION : REPARTIR LE PLUS RAPIDEMENT. ET POUR SOIGNER VOTRE PORTE MONNAIE, GUESTTOGUEST VOUS PROPOSE D’ÉCHANGER VOTRE MAISON AVEC D’AUTRES PERSONNES !"
Reezocar,3 000 000,06/09/2016,https://www.jaimelesstartups.fr/news/reezocar/,Levée de fonds : 3 000 000,"Fondateurs : Laurent Potel, Vladimir Grudzinski, Vincent Deboeuf",Nombre d'employés : 30,http://www.reezocar.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/reezocar,https://www.facebook.com/Reezocar/,,,,REEZOCAR LÈVE 3 MILLIONS ET ACCÉLÈRE SON DÉVELOPPEMENT EN EUROPE !
Plüm Énergie,1 million,13/09/2016,https://www.jaimelesstartups.fr/news/plum-energie/,Levée de fonds : 1 million,"Fondateurs : Vincent Maillard, Lancelot d'Hauthuille et Joanny Christ",,https://plum-energie.fr/#/?utm_source=JaimeLesStartups,,https://www.facebook.com/PlumEnergie/?fref=ts,,,,PLÜM ÉNERGIE LÈVE 1 MILLION D'EUROS POUR POURSUIVRE SON DÉVELOPPEMENT
Carré d’artistes,500 000€,13/10/2016,https://www.jaimelesstartups.fr/news/carre-dartistes/,Levée de fonds : 500 000€,Fondateurs : Stéphanie Tosi - Patrice Martineau,,http://www.carredartistes.com/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/carr%C3%A9-d'artistes,https://www.facebook.com/Carredartistes.galerie.art.contemporain,,,,CARRÉ D'ARTISTES INTENSIFIE SON DÉVELOPPEMENT À L'INTERNATIONAL
FINALCAD,20M$,28/09/2016,https://www.jaimelesstartups.fr/news/finalcad/,Levée de fonds : 20M$,"Fondateurs : Jimmy Louchart, Joffroy Louchart, David Vauthrin",Nombre d'employés : 70,http://www.finalcad.com/?utm_source=JaimeLesStartups,http://www.linkedin.com/company/finalcad,https://www.facebook.com/FINALCAD,,,,"FINALCAD RÉUNIT 20 M$ AUPRÈS DE SERENA CAPITAL, CAPHORN INVEST ET ASTER CAPITAL POUR ACCÉLÉRER SON DÉVELOPPEMENT INTERNATIONAL"
NETVENDEUR,NC,10/10/2016,https://www.jaimelesstartups.fr/netvendeur/,Levée de fonds : NC,Fondateurs : DELOUME Julien,Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=NETVENDEUR,,https://www.facebook.com/netvendeur,,,,"LA VALEUR D’UN OBJET EST DÉFINIE DE MANIÈRE ULTIME PAR LE PRIX DE VENTE. EN ATTENDANT, SI VOUS CHERCHEZ UNE ESTIMATION, VOUS POUVEZ ALLER FAIRE UN TOUR CHEZ NETVENDEUR :"
